"Model","Variable","Estimate","Std. Error","t value","Pr(>|t|)"
"Original","(Intercept)",-594515.595892126,2063.49862795168,-288.11048761504,0
"Original","Year",299.568384937924,1.02564462517256,292.078150253575,0
"Original","Mileage",-0.0200257469233919,8.19819173671881e-05,-244.270292358482,0
"Original","Engine_Size",997.645579517885,6.15567760697805,162.06917308128,0
"Original","Fuel_TypeElectric",1997.85451307257,19.7443263765207,101.186258521757,0
"Original","Fuel_TypeHybrid",996.963402279519,20.0845295109717,49.6383747368791,0
"Original","Fuel_TypePetrol",-0.829117398209611,20.1698580884935,-0.0411067541760547,0.967211611320253
"Domain Knowledge","(Intercept)",25858.6055576718,135.988741393271,190.152547135431,0
"Domain Knowledge","Age",-299.477801810586,1.62436719055566,-184.365827844714,0
"Domain Knowledge","log_mileage",-1491.82988643943,11.188136845489,-133.340332446947,0
"Domain Knowledge","Engine_Size",1000.25906695253,9.74978307201799,102.592956126715,0
"Domain Knowledge","Fuel_TypeElectric",1948.50285772137,31.2708423810686,62.3105330511019,0
"Domain Knowledge","Fuel_TypeHybrid",957.888174577103,31.8186166283862,30.1046455213438,1.15368427549389e-190
"Domain Knowledge","Fuel_TypePetrol",-44.3762565407837,31.9461784414759,-1.38909436764335,0.164835009592768
"Economy Segment","(Intercept)",28713.8235748569,338.311988053424,84.8737987089081,0
"Economy Segment","Age",-229.469367830599,3.0980426801876,-74.0691434944026,0
"Economy Segment","log_mileage",-1808.94210610314,26.945142120299,-67.1342573747416,0
"Economy Segment","Engine_Size",782.381469573079,13.8092857379805,56.6561865992278,0
"Economy Segment","Fuel_TypeElectric",1564.72510178401,43.0869230644795,36.3155451931995,3.66245121883024e-243
"Economy Segment","Fuel_TypeHybrid",771.160356278556,38.3608803969932,20.102780444502,7.07667772864191e-85
"Economy Segment","Fuel_TypePetrol",-69.7374302810123,35.0786659030187,-1.98802971794349,0.0468910739161734
"Mid-range Segment","(Intercept)",15636.5025536733,198.476031560885,78.7828254661401,0
"Mid-range Segment","Age",-108.271285638221,2.74373280161689,-39.4613081763706,1.24817265304399e-280
"Mid-range Segment","log_mileage",-595.574818611369,16.9250087380539,-35.189040539299,1.5784563499131e-231
"Mid-range Segment","Engine_Size",374.937254470939,12.6113713320369,29.7300939445403,8.07618869151918e-173
"Mid-range Segment","Fuel_TypeElectric",717.480278088636,35.1625609385071,20.4046650453981,2.17877251768677e-87
"Mid-range Segment","Fuel_TypeHybrid",333.578492979542,33.2948101345419,10.0189336305441,2.64465207641171e-23
"Mid-range Segment","Fuel_TypePetrol",-9.98536917160462,31.9638652919599,-0.312395546671144,0.754759131358537
"Luxury Segment","(Intercept)",19697.1099136191,177.115542521812,111.210510569355,0
"Luxury Segment","Age",-216.545220796354,3.6056002453647,-60.0580225372296,0
"Luxury Segment","log_mileage",-830.356309977842,15.6999006424046,-52.8892716515093,0
"Luxury Segment","Engine_Size",721.719905791149,16.2431433646836,44.432280722236,0
"Luxury Segment","Fuel_TypeElectric",1394.66478028754,47.7007854415479,29.2377739145731,2.85207811080439e-167
"Luxury Segment","Fuel_TypeHybrid",673.969344628436,49.4335757380714,13.6338376208011,3.24583930982719e-41
"Luxury Segment","Fuel_TypePetrol",-40.3199423287161,54.6186228631715,-0.738208695406402,0.460440244043775
"Robust Regression","(Intercept)",28650.3696317747,142.425239579397,201.160761367743,NA
"Robust Regression","Age",-300.132518770722,1.70125029402801,-176.418790241679,NA
"Robust Regression","log_mileage",-1729.22874176464,11.7176837901427,-147.574279416835,NA
"Robust Regression","Engine_Size",996.253098841064,10.2112511348533,97.5642539473571,NA
"Robust Regression","Fuel_TypeElectric",1967.71601130635,32.7509260865446,60.0812326987837,NA
"Robust Regression","Fuel_TypeHybrid",972.178263591775,33.3246270974541,29.1729675098464,NA
"Robust Regression","Fuel_TypePetrol",-32.9331340552979,33.4582265528527,-0.984306027197069,NA
